run,N,params,bits,thresholds,learned_T,sigma_train,sigma_test,I68_x_um,I68_y_um,I68_alpha_deg,I68_beta_deg,sign_alpha,sign_beta
2bit_lowfirst_midpoint_nexp1,1,376,2,-,False,0.0,0.0,20.07983136409306,5.048171542710742,1.8288943714101435,2.9763524837037494,0.9727781781892776,0.9686662600949899
2bit_paper_code_nexp1,1,376,2,248/668/1663,False,0.0,0.0,22.323271756903658,5.347347031061851,1.8828631773994005,2.4415749185649886,0.9731570290698749,0.9713459370553122
2bit_paper_code_test80_nexp1,1,376,2,248/668/1663,False,0.0,80.0,21.262370045575537,5.200939000477662,2.5946280941598427,3.4302244976510607,0.9499824434957772,0.9470070780432814
2bit_paper_code_trainthr_nexp1,1,376,2,243/670/1664,True,0.0,0.0,22.25659999389663,5.33657111895972,1.8767898101509104,2.4559019077248365,0.9731755096006357,0.9708562029901499
2bit_paper_code_noise40_nexp1,1,376,2,248/668/1663,False,40.0,40.0,21.89209020543123,5.276457608753345,1.8798523049899813,2.47423762518401,0.9736652436657981,0.969608767163793
2bit_paper_code_noise80_nexp1,1,376,2,248/668/1663,False,80.0,80.0,21.211063898576555,5.195185990204163,2.668994470384618,3.578790725922129,0.9502596514571898,0.9501949695995269
2bit_paper_code_noise80_test0_nexp1,1,376,2,248/668/1663,False,80.0,0.0,22.275282394606297,5.368566149808123,2.1108232216360108,2.8734253602153856,0.9736652436657981,0.969017390179446
2bit_paper_code_trainthr_noise80_nexp1,1,376,2,258/680/1671,True,80.0,80.0,21.318545974534736,5.203853039398979,2.3973669572340555,3.2426089893809333,0.9571621296963648,0.9563674668736486
3bit_lowfirst_midpoint_nexp1,1,380,3,-,False,0.0,0.0,20.023751750387177,5.1131976866511,1.8165528509633901,2.918024622039141,0.9751436861266656,0.9681488052336863
4bit_lowfirst_midpoint_nexp1,1,388,4,-,False,0.0,0.0,20.143384259899896,5.051397086118874,1.810996822975664,2.7485241060231047,0.9754948162111216,0.9687217016872725
analog N=1 (pre-script),1,372,analog,-,False,0.0,0.0,15.606316905898424,3.7463968848228437,1.743832996648484,2.563051121985751,0.967178577368742,0.967418824268633
2bit_paper_code_nexp4,4,3272,2,248/668/1663,False,0.0,0.0,6.572823556882006,2.1948522028403756,1.8140000474186309,2.285347142063639,0.9740440945463954,0.9721405998780285
analog N=4 (pre-script),4,3268,analog,-,False,0.0,0.0,6.5145908720064085,2.5029668387201713,1.6409093096640817,2.211501512986686,0.967769954353089,0.9692668773447174
