epoch,loss,val_loss
0,60733.23828125,-36725.734375
1,-40213.0,-40743.41796875
2,-41547.28515625,-41626.6796875
3,-42979.2734375,-43933.30078125
4,-46489.41015625,-47225.23828125
5,-49507.69140625,-50769.15234375
6,-52553.3046875,-53069.81640625
7,-54386.73046875,-54609.0859375
8,-55822.39453125,-56052.390625
9,-57022.1015625,-56894.67578125
10,-57711.23046875,-57536.046875
11,-58240.23046875,-58258.328125
12,-59288.06640625,-59358.71484375
13,-60581.9609375,-60793.21875
14,-62056.9453125,-62146.921875
15,-63151.73828125,-63056.234375
16,-63930.98046875,-63722.47265625
17,-57987.03515625,-58857.71875
18,-61513.01953125,-63752.0078125
19,-64737.59765625,-64402.84765625
20,-65099.18359375,-64688.1171875
21,-65410.875,-64959.5703125
22,-65685.4765625,-65221.46875
23,-65905.9296875,-65457.16796875
24,-66203.2109375,-65766.75
25,-66492.6484375,-66027.765625
26,-66778.859375,-66299.5078125
27,-67054.5,-66625.609375
28,-67105.390625,-66900.6171875
29,-67630.625,-67178.765625
30,-67911.40625,-67453.8984375
31,-67921.1015625,-67695.8359375
32,-68416.0234375,-67934.8828125
33,-68451.21875,-68130.3671875
34,-68846.421875,-68324.3046875
35,-69039.5625,-68518.171875
36,-69212.765625,-68684.6015625
37,-69122.4609375,-68833.6328125
38,-69523.1796875,-68958.40625
39,-69670.6953125,-69106.2265625
40,-69788.09375,-69237.109375
41,-69925.75,-69358.3984375
42,-68757.0859375,-69404.3125
43,-70131.8828125,-69518.703125
44,-70220.0234375,-69603.2734375
