epoch,loss,val_loss
0,31094.716796875,5784.09619140625
1,3553.37646484375,2199.146240234375
2,-28.184261322021484,-1426.0147705078125
3,-1638.6673583984375,-1943.072021484375
4,-1987.829833984375,-1983.413818359375
5,-1318.2161865234375,-3338.395263671875
6,-3649.416748046875,-4324.2890625
7,-3538.184326171875,-4684.38525390625
8,-3696.494873046875,-4819.49462890625
9,-5370.677734375,-5361.666015625
10,-4976.021484375,-5977.15283203125
11,-6347.5595703125,-6660.072265625
12,-6565.96435546875,-6553.76318359375
13,-5964.2548828125,-7009.41064453125
14,-5977.4375,-7427.46044921875
15,-7433.00146484375,-7508.93896484375
16,-7395.2490234375,-8171.31103515625
17,-7744.2431640625,-7729.94287109375
18,-8408.1513671875,-8927.09375
19,-8401.087890625,-7921.00341796875
20,-9198.9404296875,-9969.9931640625
21,-10109.375,-10684.677734375
22,-11035.123046875,-11805.2568359375
23,-11700.8125,-11911.314453125
24,-11821.103515625,-6718.73388671875
25,-11886.42578125,-12681.7109375
26,-12716.4638671875,-12863.2666015625
27,-12714.8203125,-12557.5947265625
28,-13014.5126953125,-13283.0146484375
29,-12874.7421875,-13691.3017578125
30,-12391.3349609375,-13281.037109375
31,-12551.107421875,-13175.30078125
32,-11784.76171875,-12563.6240234375
33,-12747.6953125,-12646.498046875
34,-13171.64453125,-13583.205078125
35,-12529.5712890625,-11953.3193359375
36,-12963.9326171875,-12623.54296875
37,-12650.173828125,-9780.5888671875
38,-11818.23046875,-11417.07421875
39,-12213.279296875,-11064.2001953125
40,-12787.9169921875,-11557.8515625
41,-13171.3818359375,-13816.6806640625
42,-13487.197265625,-12948.3974609375
43,-13672.9140625,-13274.0537109375
44,-14013.77734375,-13900.35546875
45,-13837.11328125,-12971.1435546875
46,-13989.8828125,-14093.591796875
47,-14501.2333984375,-15112.314453125
48,-15185.6767578125,-14611.462890625
49,-15587.208984375,-15816.4794921875
50,-15750.26953125,-15155.54296875
51,-14744.7626953125,-15021.9912109375
52,-14308.404296875,-13985.951171875
53,-14310.6728515625,-15456.3720703125
54,-15910.884765625,-17160.7265625
55,-16412.25,-16016.6005859375
56,-16107.1064453125,-16149.2861328125
57,-16418.4375,-16490.818359375
58,-16132.7451171875,-16871.03125
59,-16580.99609375,-16456.80078125
60,-16768.986328125,-16538.65625
61,-17096.845703125,-16926.505859375
62,-17268.892578125,-16395.982421875
63,-17361.3046875,-17662.244140625
64,-17315.623046875,-18212.111328125
65,-17767.029296875,-18179.69140625
66,-17788.14453125,-17759.458984375
67,-18098.626953125,-18131.5
68,-18154.9140625,-17926.482421875
69,-18548.673828125,-18748.529296875
70,-18617.455078125,-18714.724609375
71,-18677.484375,-18413.51953125
72,-18542.267578125,-18694.611328125
73,-18584.6328125,-18406.693359375
74,-18686.06640625,-18475.158203125
75,-18599.8515625,-19051.595703125
76,-18587.724609375,-18457.8515625
77,-18687.7109375,-18513.94140625
78,-18675.912109375,-16680.619140625
79,-18641.28515625,-19075.912109375
80,-18738.46875,-19026.994140625
81,-18869.45703125,-16703.208984375
82,-18908.759765625,-19386.287109375
83,-18939.611328125,-18295.126953125
84,-19177.138671875,-18465.83984375
85,-19162.203125,-19037.185546875
86,-19461.087890625,-19375.154296875
87,-19558.49609375,-18868.203125
88,-19556.5546875,-19694.177734375
89,-19494.640625,-19992.60546875
90,-19477.396484375,-19122.138671875
91,-19488.123046875,-18788.7578125
92,-19518.802734375,-18855.333984375
93,-19579.5,-19603.2578125
94,-19580.39453125,-20115.951171875
95,-19537.8203125,-20229.10546875
96,-19551.314453125,-19617.611328125
97,-19649.60546875,-18897.6171875
98,-19683.650390625,-20596.990234375
99,-19635.533203125,-19806.169921875
100,-19853.20703125,-19735.30859375
101,-19981.404296875,-21013.8359375
102,-19997.6796875,-19493.634765625
103,-19771.619140625,-20276.033203125
104,-20059.21875,-18592.009765625
105,-19606.7734375,-20328.236328125
106,-19731.806640625,-19089.24609375
107,-19731.49609375,-17936.33203125
108,-19631.908203125,-20168.755859375
109,-19984.78515625,-20839.12890625
110,-19753.787109375,-19775.7578125
111,-19902.759765625,-20230.19140625
112,-20031.490234375,-20413.556640625
113,-19922.544921875,-20406.095703125
114,-19919.998046875,-20684.56640625
115,-19885.857421875,-17234.326171875
116,-19460.67578125,-20334.61328125
117,-19544.880859375,-19843.314453125
118,-20056.1171875,-20398.541015625
119,-20016.208984375,-20201.802734375
120,-19571.3359375,-20416.37890625
121,-19734.919921875,-20156.025390625
122,-19465.095703125,-20715.130859375
123,-19414.328125,-18653.0859375
124,-19388.912109375,-18421.658203125
125,-19547.451171875,-20010.70703125
126,-19609.712890625,-20963.9921875
127,-19358.39453125,-19989.515625
128,-19815.107421875,-20463.67578125
129,-19898.02734375,-20227.76171875
130,-19863.576171875,-20851.435546875
131,-19801.2578125,-20111.82421875
132,-19914.908203125,-20123.99609375
133,-19604.140625,-19983.724609375
134,-19894.1484375,-19387.52734375
135,-19686.21875,-20728.376953125
136,-19787.740234375,-19466.359375
137,-19910.1640625,-20875.8515625
138,-20095.9453125,-18371.517578125
139,-19899.47265625,-19752.248046875
140,-20232.837890625,-20621.056640625
141,-20188.51953125,-21392.544921875
142,-20628.490234375,-20723.01953125
143,-20662.8828125,-20526.88671875
144,-20524.779296875,-20925.58203125
145,-20460.21875,-20958.625
146,-20376.486328125,-20737.212890625
147,-20457.708984375,-20842.021484375
148,-20663.041015625,-21568.48046875
149,-20259.3671875,-19302.794921875
150,-20545.349609375,-20241.97265625
151,-20500.693359375,-20263.32421875
152,-20525.046875,-20980.501953125
153,-20370.634765625,-19503.31640625
154,-20299.919921875,-21117.708984375
155,-19461.482421875,-20998.3046875
156,-20755.515625,-20158.4921875
157,-20341.189453125,-18375.150390625
158,-20310.330078125,-17932.138671875
159,-20814.0859375,-21286.337890625
160,-20474.896484375,-20646.30078125
161,-20529.953125,-19709.17578125
162,-20429.091796875,-19949.837890625
163,-20489.404296875,-20325.140625
164,-20215.279296875,-20219.15234375
165,-20265.94921875,-20764.556640625
166,-20441.119140625,-20354.404296875
167,-20479.78515625,-19476.404296875
168,-20024.80078125,-19448.052734375
169,-20598.525390625,-20938.525390625
170,-20621.064453125,-21532.916015625
171,-20614.078125,-20443.162109375
172,-20985.759765625,-21536.03515625
173,-20928.57421875,-21444.029296875
174,-20606.998046875,-21248.943359375
175,-21162.216796875,-19701.548828125
176,-20758.603515625,-20582.763671875
177,-20797.298828125,-20465.60546875
178,-20729.0625,-19737.5625
179,-20308.76171875,-19549.78515625
180,-20318.966796875,-20657.181640625
181,-20427.857421875,-21110.134765625
182,-20870.642578125,-21180.162109375
183,-20336.03125,-21543.37109375
184,-20234.306640625,-18428.431640625
185,-20665.912109375,-21103.009765625
186,-20612.134765625,-21346.814453125
187,-20525.15234375,-21324.517578125
188,-20743.369140625,-21157.33984375
189,-20784.7109375,-21056.203125
190,-20652.6328125,-21073.572265625
191,-20667.71484375,-21643.17578125
192,-20595.67578125,-20967.9921875
193,-20846.208984375,-20260.8984375
194,-20682.517578125,-21651.9296875
195,-20805.5234375,-21320.1484375
196,-20549.67578125,-20894.625
197,-20488.353515625,-20268.470703125
198,-20589.1328125,-21146.806640625
199,-20527.9296875,-20946.951171875
200,-20636.67578125,-21210.69921875
201,-20532.69140625,-20000.279296875
202,-20745.072265625,-21264.244140625
203,-20298.8671875,-20757.470703125
204,-20970.01953125,-19517.845703125
205,-20671.796875,-21220.642578125
206,-20929.0078125,-16914.39453125
207,-21019.8046875,-21325.255859375
208,-20915.716796875,-19673.73046875
209,-20946.349609375,-21547.322265625
210,-20934.44140625,-20802.369140625
211,-20976.466796875,-21367.8203125
212,-21078.82421875,-21401.89453125
213,-21161.154296875,-21798.046875
214,-21154.9140625,-21685.4921875
215,-20970.037109375,-21713.806640625
216,-21243.55078125,-21131.197265625
217,-20925.375,-21501.025390625
218,-20976.5234375,-20893.498046875
219,-20946.853515625,-22096.388671875
220,-21283.515625,-21350.615234375
221,-21093.927734375,-21350.966796875
222,-20753.5859375,-21436.146484375
223,-20921.23828125,-21163.560546875
224,-20679.2890625,-19773.0390625
225,-20852.591796875,-18015.427734375
226,-20692.109375,-21324.330078125
227,-20710.576171875,-21334.95703125
228,-20692.484375,-20444.41015625
229,-21080.677734375,-21187.51171875
230,-20899.08984375,-20892.263671875
231,-20943.486328125,-21222.33203125
232,-21021.92578125,-21032.017578125
233,-21136.7578125,-21423.296875
234,-21309.673828125,-20655.3359375
235,-21208.7890625,-22121.857421875
236,-20948.6953125,-18846.86328125
237,-21134.16796875,-19963.189453125
238,-21136.099609375,-20358.966796875
239,-21108.408203125,-20576.556640625
240,-21194.775390625,-22278.771484375
241,-21020.6171875,-21523.009765625
242,-20851.619140625,-20270.859375
243,-20843.296875,-21011.8046875
244,-20796.5,-21569.296875
245,-21029.1796875,-21526.236328125
246,-20911.064453125,-21720.09375
247,-20776.181640625,-20648.662109375
248,-20874.30859375,-19186.484375
249,-20864.6328125,-19354.212890625
250,-21091.765625,-21801.693359375
251,-21812.005859375,-22296.529296875
252,-21861.138671875,-21984.427734375
253,-21540.236328125,-22252.279296875
254,-21580.248046875,-21980.61328125
255,-21647.845703125,-21489.49609375
256,-21606.849609375,-21731.390625
257,-21443.556640625,-21524.166015625
258,-21327.302734375,-21462.5703125
259,-21008.66796875,-19382.0625
260,-21214.25,-20578.6015625
261,-21042.40234375,-21341.69140625
262,-20104.765625,-21588.98828125
263,-21024.888671875,-20912.978515625
264,-20959.8046875,-20891.736328125
265,-21057.576171875,-21516.75390625
266,-21180.015625,-21316.59375
