epoch,loss,val_loss
0,14317.8212890625,10404.3017578125
1,6630.1875,2800.703125
2,253.2212371826172,-2017.4783935546875
3,-3874.778564453125,-5320.0615234375
4,-7078.8505859375,-8394.044921875
5,-10284.189453125,-10972.771484375
6,-12148.435546875,-12226.5556640625
7,-13336.96875,-13300.3818359375
8,-14402.18359375,-14299.3818359375
9,-15367.974609375,-15177.30078125
10,-16183.6025390625,-15890.021484375
11,-16835.091796875,-16451.78515625
12,-17346.373046875,-16894.431640625
13,-17749.3515625,-17247.583984375
14,-18074.427734375,-17537.607421875
15,-18345.857421875,-17784.3515625
16,-18580.455078125,-18001.037109375
17,-18789.0,-18195.919921875
18,-18978.087890625,-18373.9375
19,-19151.6015625,-18537.916015625
20,-19311.828125,-18689.587890625
21,-19460.328125,-18830.291015625
22,-19598.533203125,-18961.41015625
23,-19727.978515625,-19084.4609375
24,-19850.294921875,-19201.05859375
25,-19967.083984375,-19312.73046875
26,-20079.791015625,-19420.787109375
27,-20189.568359375,-19526.181640625
28,-20297.150390625,-19629.435546875
29,-20402.810546875,-19730.59375
30,-20506.365234375,-19829.2890625
31,-20607.2265625,-19924.873046875
32,-20704.68359375,-20016.662109375
33,-20798.068359375,-20104.11328125
34,-20886.904296875,-20186.947265625
35,-20971.029296875,-20265.16796875
36,-21050.5234375,-20338.994140625
37,-21125.6484375,-20408.76953125
38,-21196.8046875,-20474.912109375
39,-21264.390625,-20537.826171875
40,-21328.83984375,-20597.9140625
41,-21390.521484375,-20655.517578125
42,-21449.775390625,-20710.91796875
43,-21506.89453125,-20764.375
44,-21562.111328125,-20816.0859375
45,-21615.640625,-20866.203125
46,-21667.65234375,-20914.84765625
47,-21718.283203125,-20962.123046875
48,-21767.650390625,-21008.095703125
49,-21815.84765625,-21052.837890625
50,-21862.9453125,-21096.40625
51,-21908.998046875,-21138.912109375
52,-21954.029296875,-21180.5078125
53,-21998.037109375,-21221.3828125
54,-22041.037109375,-21261.7109375
55,-22083.076171875,-21301.51953125
56,-22124.224609375,-21340.759765625
57,-22164.53515625,-21379.353515625
58,-22204.0703125,-21417.25390625
59,-22242.8671875,-21454.42578125
60,-22280.923828125,-21490.888671875
61,-22318.283203125,-21526.673828125
62,-22354.962890625,-21561.83203125
63,-22391.015625,-21596.435546875
64,-22426.5,-21630.5390625
65,-22461.46484375,-21664.203125
66,-22495.982421875,-21697.4921875
67,-22530.103515625,-21730.453125
