epoch,loss,val_loss
0,38916.34375,-35425.56640625
1,-39245.25,-40262.76953125
2,-41285.63671875,-41545.1953125
3,-43054.94140625,-43986.61328125
4,-46457.76953125,-48742.6484375
5,-51259.23828125,-52440.41015625
6,-53703.73828125,-53858.91796875
7,-54963.828125,-55015.234375
8,-56015.8046875,-56094.59765625
9,-57063.48828125,-57212.62890625
10,-58103.4765625,-58149.5703125
11,-59207.765625,-59139.46484375
12,-59277.21875,-60187.94921875
13,-61213.77734375,-61095.7265625
14,-61988.48828125,-61751.90625
15,-62539.50390625,-62298.7109375
16,-63024.54296875,-62946.89453125
17,-63885.50390625,-63741.48046875
18,-64655.34375,-64442.328125
19,-65236.07421875,-64960.41015625
20,-65748.359375,-65403.515625
21,-63414.859375,-65526.47265625
22,-60535.41015625,-62966.50390625
23,-66144.4296875,-65973.109375
24,-66669.8515625,-66175.984375
25,-66859.4140625,-66356.1875
26,-67043.2421875,-66542.328125
27,-67168.53125,-66721.9453125
28,-67394.65625,-66885.2578125
29,-65629.171875,-67004.2578125
30,-67680.0703125,-66761.8046875
31,-67763.8125,-67297.265625
32,-67971.2265625,-67396.2265625
33,-68063.59375,-67550.921875
34,-65070.15625,-67635.8828125
35,-68320.0546875,-67765.46875
36,-68426.4921875,-67868.2578125
37,-68160.8671875,-67965.578125
38,-68337.4375,-67522.171875
39,-68526.8046875,-67836.65625
40,-68794.25,-68248.3828125
41,-68913.140625,-68335.53125
42,-69001.0859375,-68442.9453125
43,-69082.484375,-68535.21875
44,-69182.1875,-68624.1484375
45,-69289.8125,-68728.2421875
46,-69379.828125,-68819.46875
47,-69471.96875,-68915.109375
48,-69553.375,-68994.34375
49,-69646.8203125,-69076.0859375
50,-69665.9453125,-69164.4296875
51,-69686.1953125,-69238.921875
52,-69884.2265625,-69312.34375
53,-69937.0234375,-69386.1640625
54,-70027.640625,-69453.9453125
55,-70099.46875,-69522.7421875
56,-70169.375,-69592.6328125
57,-70241.625,-69660.609375
58,-70306.6015625,-69731.703125
59,-70373.7265625,-69798.1484375
60,-70440.4765625,-69864.296875
61,-70470.3515625,-69928.078125
62,-70570.515625,-69988.7578125
63,-70627.171875,-70049.0625
64,-70682.2265625,-70106.8359375
65,-70754.5390625,-70165.484375
66,-70817.1171875,-70225.5078125
67,-70878.9921875,-70286.765625
68,-70941.453125,-70349.859375
69,-71004.921875,-70409.9921875
70,-71072.1015625,-70479.6796875
71,-71134.65625,-70547.4375
72,-71209.7734375,-70616.2578125
73,-71279.0859375,-70686.4921875
74,-71353.3671875,-70757.2890625
75,-71425.140625,-70826.0546875
76,-71493.546875,-70895.390625
77,-71565.140625,-70960.1484375
78,-71626.8125,-71018.7265625
79,-71683.453125,-71071.1015625
80,-71736.625,-71118.59375
81,-71782.3984375,-71161.0546875
82,-71823.9765625,-71199.625
83,-71861.0078125,-71228.203125
84,-71894.0,-71260.8671875
85,-71923.484375,-71287.28125
86,-71947.9375,-71310.7109375
87,-71970.984375,-71330.515625
88,-71992.296875,-71347.96875
89,-72008.875,-71362.0625
90,-72024.328125,-71375.3359375
91,-72038.2109375,-71386.984375
92,-72049.546875,-71396.5625
93,-72058.84375,-71404.328125
94,-72067.6484375,-71410.9609375
95,-72071.90625,-71416.40625
96,-72080.0390625,-71421.2578125
97,-72084.9765625,-71425.59375
98,-72089.234375,-71429.515625
99,-72093.2421875,-71433.140625
100,-72096.9921875,-71436.8046875
101,-72100.796875,-71440.3984375
102,-72104.6171875,-71444.125
103,-72108.4765625,-71447.8828125
104,-72112.296875,-71451.6640625
105,-72116.1875,-71455.4609375
106,-72120.03125,-71459.2265625
107,-72123.9609375,-71463.03125
108,-72127.796875,-71466.828125
109,-72131.6796875,-71470.6328125
110,-72135.59375,-71474.4140625
111,-72139.4375,-71478.1953125
112,-72143.3046875,-71481.9765625
113,-72147.1328125,-71485.7578125
114,-72150.984375,-71489.546875
115,-72154.8671875,-71493.296875
116,-72158.6796875,-71497.078125
117,-72162.5390625,-71500.8203125
118,-72166.3203125,-71504.5703125
119,-72170.1640625,-71508.3046875
120,-72173.953125,-71512.0546875
121,-72177.734375,-71515.78125
122,-72181.546875,-71519.5078125
123,-72185.3515625,-71523.2265625
124,-72189.1328125,-71526.9453125
125,-72192.875,-71530.65625
126,-72196.6796875,-71534.3671875
127,-72200.40625,-71538.078125
128,-72204.25,-71541.7734375
129,-72208.0546875,-71545.4921875
130,-72211.7734375,-71549.171875
131,-72215.515625,-71552.8515625
132,-72219.265625,-71556.546875
133,-72223.046875,-71560.1875
134,-72226.6953125,-71563.84375
135,-72230.390625,-71567.4765625
136,-72234.125,-71571.3046875
137,-72237.8984375,-71575.0
138,-72241.578125,-71578.6328125
139,-72245.234375,-71582.2421875
140,-72248.34375,-71585.421875
141,-72244.578125,-71589.3828125
142,-72255.1015625,-71592.328125
143,-72258.1328125,-71595.1796875
144,-72261.3828125,-71598.0625
145,-72264.6328125,-71600.9140625
146,-72267.796875,-71603.8515625
147,-72271.0,-71606.9375
148,-72274.203125,-71610.078125
149,-72277.515625,-71613.28125
150,-72280.8359375,-71616.53125
151,-72284.234375,-71619.828125
152,-72287.6640625,-71623.15625
153,-72290.9765625,-71626.5078125
154,-72294.4921875,-71629.859375
155,-72298.0,-71633.2734375
156,-72298.671875,-71635.640625
157,-72304.1796875,-71638.8203125
158,-72307.3984375,-71641.890625
159,-72310.6015625,-71645.0
160,-72313.8046875,-71648.1953125
161,-72317.046875,-71651.375
162,-72320.3203125,-71654.625
163,-72323.828125,-71657.9140625
164,-72327.171875,-71661.25
165,-72330.625,-71664.625
166,-72334.0546875,-71668.015625
167,-72337.484375,-71671.4375
168,-72341.0078125,-71674.8515625
169,-72344.546875,-71678.3359375
170,-72348.0546875,-71681.78125
171,-72351.5703125,-71685.2421875
172,-72355.0859375,-71688.6953125
173,-72358.5390625,-71692.1484375
174,-72362.078125,-71695.609375
175,-72365.625,-71699.046875
176,-72369.171875,-71702.484375
177,-72372.625,-71705.875
178,-72375.9296875,-71709.3125
179,-72379.3984375,-71712.734375
180,-72382.921875,-71716.140625
181,-72385.59375,-71719.0234375
182,-72389.6015625,-71722.3984375
183,-72393.0,-71725.7265625
184,-72396.2734375,-71729.0
185,-72399.609375,-71732.2421875
186,-72402.9296875,-71735.546875
187,-72406.265625,-71738.8125
188,-72409.6015625,-71742.1015625
189,-72412.90625,-71745.40625
190,-72416.265625,-71748.671875
191,-72419.6015625,-71751.96875
192,-72422.9296875,-71755.2421875
193,-72425.8203125,-71758.59375
194,-72429.6875,-71762.0078125
195,-72432.8515625,-71765.28125
196,-72436.15625,-71768.5390625
197,-72439.453125,-71771.75
198,-72442.75,-71774.9921875
199,-72446.0,-71778.1875
200,-72449.265625,-71781.3984375
201,-72452.515625,-71784.59375
202,-72455.7421875,-71787.796875
203,-72458.9921875,-71790.9921875
204,-72462.2265625,-71794.1875
205,-72465.46875,-71797.375
206,-72468.6875,-71800.546875
207,-72471.90625,-71803.71875
208,-72475.1015625,-71806.8828125
209,-72478.296875,-71810.015625
210,-72481.4375,-71813.1484375
211,-72484.6171875,-71816.28125
212,-72487.7578125,-71819.40625
213,-72490.984375,-71822.5234375
214,-72494.1484375,-71825.609375
215,-72497.25,-71828.7109375
216,-72500.3671875,-71831.8046875
217,-72504.015625,-71834.953125
218,-72507.109375,-71838.109375
219,-72510.2578125,-71841.296875
220,-72513.421875,-71844.4765625
221,-72516.640625,-71847.6640625
222,-72519.8515625,-71850.8515625
223,-72523.0625,-71854.015625
224,-72526.2890625,-71857.1875
225,-72529.46875,-71860.328125
226,-72532.6640625,-71863.4609375
227,-72535.8359375,-71866.6015625
228,-72539.0234375,-71869.703125
229,-72542.21875,-71872.8125
230,-72545.375,-71875.921875
231,-72548.65625,-71879.0625
232,-72551.796875,-71882.171875
233,-72555.0,-71885.2890625
234,-72558.109375,-71888.375
235,-72561.2890625,-71891.4765625
236,-72564.40625,-71894.5546875
237,-72567.921875,-71897.671875
238,-72571.0390625,-71900.796875
239,-72574.1484375,-71903.9296875
240,-72577.2890625,-71907.0390625
241,-72580.484375,-71910.15625
242,-72583.65625,-71913.2265625
243,-72586.84375,-71916.3203125
244,-72589.984375,-71919.3515625
245,-72593.1171875,-71922.3828125
246,-72596.21875,-71925.359375
247,-72599.359375,-71928.453125
248,-72602.4609375,-71931.5234375
249,-72605.578125,-71934.5390625
250,-72608.640625,-71937.6015625
251,-72611.703125,-71940.640625
252,-72614.78125,-71943.6796875
253,-72617.828125,-71946.6640625
254,-72620.8671875,-71949.6796875
255,-72623.75,-71952.6328125
256,-72626.8828125,-71955.625
257,-72629.859375,-71958.5703125
258,-72632.8515625,-71961.5390625
259,-72635.7890625,-71964.453125
260,-72638.765625,-71967.3984375
261,-72641.6953125,-71969.328125
262,-72645.15625,-71972.890625
263,-72648.2578125,-71976.09375
264,-72651.3828125,-71979.2578125
265,-72654.515625,-71982.4921875
266,-72657.6875,-71985.7265625
267,-72660.9140625,-71989.0078125
268,-72664.078125,-71992.3203125
269,-72667.3984375,-71995.6171875
270,-72670.6875,-71998.9453125
271,-72674.0234375,-72002.2578125
272,-72677.34375,-72005.578125
273,-72680.6796875,-72008.890625
274,-72684.0703125,-72012.1953125
275,-72686.875,-72015.546875
276,-72690.5390625,-72018.859375
277,-72693.96875,-72022.1875
278,-72697.40625,-72025.5078125
279,-72700.75,-72028.8359375
280,-72704.1015625,-72032.171875
281,-72707.453125,-72035.5078125
282,-72710.8203125,-72038.8359375
283,-72714.171875,-72042.171875
284,-72717.546875,-72045.4921875
285,-72720.921875,-72048.8046875
286,-72724.3125,-72052.140625
287,-72727.7109375,-72055.4765625
288,-72731.0546875,-72058.7890625
289,-72734.3984375,-72062.09375
290,-72737.7265625,-72065.390625
291,-72741.0390625,-72068.6953125
292,-72744.359375,-72071.984375
293,-72747.6796875,-72075.25
294,-72751.0078125,-72078.5390625
295,-72754.3046875,-72081.8125
296,-72757.609375,-72085.0546875
297,-72760.9296875,-72088.3203125
298,-72764.2109375,-72091.5625
299,-72767.46875,-72094.8046875
300,-72770.921875,-72098.09375
301,-72774.1796875,-72101.328125
302,-72777.46875,-72104.5703125
303,-72780.8671875,-72108.265625
304,-72783.640625,-72111.0625
305,-72787.296875,-72115.234375
306,-72791.046875,-72118.5546875
307,-72794.1328125,-72121.6796875
308,-72797.453125,-72124.875
309,-72800.625,-72128.0390625
310,-72803.9296875,-72131.265625
311,-72807.1484375,-72134.4921875
312,-72810.0,-72137.921875
313,-72813.609375,-72141.1328125
314,-72816.859375,-72144.328125
315,-72820.125,-72147.5390625
316,-72823.265625,-72150.7421875
317,-72826.734375,-72153.96875
318,-72821.3125,-72155.7109375
319,-72832.203125,-72158.4921875
320,-72834.625,-72160.9453125
321,-72837.0625,-72163.4296875
322,-72839.5234375,-72165.9921875
323,-72842.140625,-72168.640625
324,-72844.703125,-72171.359375
325,-72847.5703125,-72174.15625
326,-72846.796875,-72176.3203125
327,-72852.8671875,-72179.15625
328,-72855.5,-72181.8671875
329,-72858.2109375,-72184.6171875
330,-72860.9921875,-72187.4453125
331,-72863.7578125,-72190.328125
332,-72856.140625,-72193.046875
333,-72869.0390625,-72195.40625
334,-72871.6796875,-72197.8046875
335,-72874.171875,-72200.2578125
336,-72876.71875,-72202.8203125
337,-72879.3828125,-72205.46875
338,-72882.1640625,-72208.1953125
339,-72884.96875,-72211.03125
340,-72887.859375,-72213.9296875
341,-72890.859375,-72216.90625
342,-72893.9140625,-72219.9296875
343,-72896.9921875,-72223.0078125
344,-72900.1015625,-72226.1328125
345,-72903.2421875,-72229.265625
346,-72906.4375,-72232.4296875
347,-72909.65625,-72235.625
348,-72912.8828125,-72238.734375
349,-72916.1171875,-72241.96875
350,-72919.3828125,-72245.2265625
351,-72922.640625,-72248.4765625
352,-72925.9296875,-72251.7265625
353,-72929.1953125,-72254.9765625
354,-72932.453125,-72258.234375
355,-72935.734375,-72261.46875
356,-72939.0,-72264.7109375
357,-72942.2890625,-72267.9609375
358,-72945.5546875,-72271.21875
359,-72948.84375,-72274.4375
