epoch,loss,val_loss
0,102881.546875,101702.9296875
1,97612.5703125,81453.078125
2,54082.203125,35738.6328125
3,28767.337890625,24081.15234375
4,21873.958984375,20228.166015625
5,19297.015625,18522.767578125
6,18038.42578125,17601.517578125
7,17322.279296875,17047.1953125
8,16877.2734375,16689.2265625
9,16581.91796875,16443.4453125
10,16372.7412109375,16263.080078125
11,16213.2275390625,16119.8857421875
12,16080.80859375,15995.982421875
13,15960.953125,15879.6845703125
14,15844.212890625,15763.40234375
15,15724.4169921875,15642.03125
16,15597.5205078125,15512.306640625
17,15460.494140625,15371.3251953125
18,15310.7646484375,15216.484375
19,15146.486328125,15046.7392578125
20,14964.787109375,14858.693359375
21,14764.501953125,14653.05859375
22,14547.05859375,14431.3779296875
23,14316.7919921875,14201.4462890625
24,14080.1181640625,13964.224609375
25,13842.4169921875,13727.2509765625
26,13597.2197265625,13481.365234375
27,13351.4912109375,13236.6416015625
28,13106.3408203125,12995.533203125
29,12874.7412109375,12768.9619140625
30,12640.2392578125,12533.6005859375
31,12395.5009765625,12285.671875
32,12146.8818359375,12035.1533203125
33,11894.109375,11785.974609375
34,11644.5205078125,11538.45703125
35,11397.3212890625,11290.8154296875
36,11152.4482421875,11044.8603515625
37,10910.8203125,10808.9697265625
38,10678.2060546875,10582.2490234375
39,10451.5029296875,10356.1787109375
40,10238.892578125,10153.9482421875
41,10037.943359375,9959.033203125
42,9844.794921875,9772.8486328125
43,9656.21484375,9588.0263671875
44,9473.3037109375,9409.7568359375
45,9294.1279296875,9232.0888671875
