epoch,loss,val_loss
0,21637.083984375,7612.84033203125
1,3580.062255859375,816.7344360351562
2,-89.01155853271484,-711.6896362304688
3,-1009.663330078125,-1114.6363525390625
4,-1354.7349853515625,-1415.2374267578125
5,-1685.198974609375,-1793.8526611328125
6,-1703.9940185546875,-1262.96240234375
7,-1700.8707275390625,-1713.25244140625
8,-1642.89306640625,-1681.9378662109375
9,-1849.5347900390625,-1884.9775390625
10,-2131.493408203125,-2004.0018310546875
11,-2453.87841796875,-2521.744873046875
12,-2907.52783203125,-2972.141357421875
13,-3155.82421875,-3300.564208984375
14,-3494.720703125,-3407.271484375
15,-3869.839599609375,-4037.899169921875
16,-4300.67041015625,-4469.74169921875
17,-4605.73583984375,-4676.3720703125
18,-4859.29541015625,-4887.482421875
19,-4966.5146484375,-4849.11767578125
20,-5200.65576171875,-5307.67529296875
21,-5387.95068359375,-5599.02685546875
22,-5200.7890625,-5273.576171875
23,-5646.81201171875,-5500.66845703125
24,-6236.83056640625,-6295.7353515625
25,-6435.2158203125,-6530.19384765625
26,-5984.9951171875,-6162.39501953125
27,-6851.568359375,-6785.86474609375
28,-7013.2861328125,-6938.7119140625
29,-7190.1923828125,-7233.61572265625
