epoch,loss,val_loss
0,68835.1328125,17637.626953125
1,16113.5400390625,15215.3212890625
2,14157.1318359375,12802.9716796875
3,11082.283203125,9377.6044921875
4,7522.677734375,5724.17626953125
5,4048.13232421875,2873.07861328125
6,2081.519287109375,1511.7364501953125
7,869.3018188476562,428.66796875
8,-129.40211486816406,1813.287841796875
9,-781.1063842773438,-1004.4254150390625
10,-1618.7301025390625,-1949.928955078125
11,1038.174072265625,-2229.139892578125
12,-2825.97021484375,-3156.614013671875
13,-3704.155029296875,-4075.052978515625
14,-4067.1376953125,-5000.3232421875
15,-5531.24609375,-5800.677734375
16,-6120.64794921875,-6395.63037109375
17,-6798.73779296875,-6932.45751953125
18,-7337.57421875,-7425.75732421875
19,-7352.6259765625,-7843.66552734375
20,-7978.9345703125,-8273.1318359375
21,-8500.4921875,-8263.6884765625
22,-8993.326171875,-9066.2685546875
23,-9035.8515625,-5040.306640625
24,-9370.134765625,-9700.28515625
25,-10009.66015625,-9954.9384765625
26,-10280.0087890625,-10257.2490234375
27,-10487.9423828125,-10488.16015625
28,-10800.7646484375,-10793.5625
29,-11042.3994140625,-11012.150390625
30,-11322.8134765625,-11286.4794921875
31,-11565.4853515625,-11541.75
32,-11815.5029296875,-11788.16796875
33,-12056.5986328125,-12031.99609375
34,-12323.775390625,-12296.947265625
35,-12568.126953125,-12548.662109375
36,-12744.326171875,-12791.43359375
37,-12749.361328125,-12992.203125
38,-13260.8662109375,-13161.4931640625
39,-13471.2607421875,-13384.5537109375
40,-13584.2626953125,-3235.4375
41,-8541.189453125,-9757.744140625
42,-10054.3671875,-10388.30078125
43,-10322.697265625,-10519.4345703125
44,-10694.0537109375,-10547.40234375
45,-10957.9208984375,-10939.81640625
46,-11147.3935546875,-11254.4892578125
47,-11234.9619140625,-11275.37890625
48,-11614.380859375,-11465.5234375
49,-12646.138671875,-13483.1455078125
50,-13899.0791015625,-13841.2587890625
51,-14145.69140625,-14015.59375
52,-14305.0205078125,-14143.1279296875
53,-14417.4697265625,-14245.626953125
54,-14516.9111328125,-14338.48828125
55,-14597.9169921875,-14424.1845703125
56,-14689.4521484375,-14505.3427734375
57,-14772.9443359375,-14584.208984375
58,-14854.0810546875,-14661.2626953125
59,-14926.3681640625,-14733.478515625
60,-15003.2646484375,-14807.712890625
61,-14956.791015625,-14875.83203125
62,-15142.408203125,-14942.595703125
63,-15206.447265625,-15003.849609375
64,-15263.4912109375,-15064.228515625
65,-15315.56640625,-15120.515625
66,-15381.78125,-15176.681640625
67,-15434.140625,-15228.5458984375
68,-15486.0673828125,-15279.2763671875
69,-15533.43359375,-15326.2744140625
70,-15581.291015625,-15371.818359375
71,-15596.19921875,-15376.2099609375
72,-15664.9599609375,-15447.73828125
73,-15701.36328125,-15446.9404296875
74,-15737.0703125,-15512.1083984375
75,-15769.7666015625,-15204.265625
76,-15789.2265625,-15575.6396484375
77,-15830.0087890625,-15548.294921875
78,-15854.693359375,-15628.177734375
79,-15879.99609375,-15619.21484375
80,-15902.068359375,-15669.3056640625
81,-15920.0888671875,-15687.384765625
82,-15944.61328125,-15706.93359375
83,-15962.0517578125,-15719.787109375
84,-15978.0771484375,-15736.8388671875
85,-15992.9013671875,-15750.224609375
86,-16006.1650390625,-15762.3828125
87,-16018.1298828125,-15773.3759765625
88,-16028.849609375,-15783.228515625
