epoch,loss,val_loss
0,18633.228515625,8648.4619140625
1,5425.47412109375,2993.223388671875
2,1196.04150390625,239.95895385742188
3,-158.47299194335938,-761.5609741210938
4,-762.42236328125,-1450.23583984375
5,-1938.4063720703125,-2279.311767578125
6,-2868.874267578125,-3313.097412109375
7,-3125.719482421875,-4463.67578125
8,-5306.767578125,-5853.25537109375
9,-6600.3037109375,-7027.970703125
10,-7603.6240234375,-7862.6455078125
11,-8317.048828125,-8532.4853515625
12,-8790.693359375,-9105.779296875
13,-9504.271484375,-9601.71484375
14,-10002.0546875,-10037.1484375
15,-10192.2890625,-10429.9267578125
16,-10795.3330078125,-10801.8583984375
17,-11109.052734375,-11115.369140625
18,-10715.9033203125,-11376.943359375
19,-9261.2158203125,-8636.6142578125
20,-11379.1533203125,-11708.041015625
21,-11988.7392578125,-11910.265625
22,-11503.849609375,-12059.560546875
23,-12364.3076171875,-12226.3173828125
24,-12507.2421875,-12326.869140625
25,-12383.9580078125,-12499.8896484375
26,-12788.974609375,-12647.5927734375
27,-12922.5791015625,-12745.845703125
28,-13059.5849609375,-12773.236328125
29,-12363.7783203125,-12903.595703125
30,-13316.8173828125,-13118.7861328125
31,-13426.412109375,-12452.6328125
32,-11668.759765625,-13374.1845703125
33,-13660.1376953125,-13453.3994140625
34,-13730.716796875,-13569.0595703125
35,-13700.435546875,19000.197265625
36,-831.7706909179688,-4790.119140625
37,-5963.32373046875,-6034.951171875
38,-8127.06005859375,-9021.833984375
39,-9269.6259765625,-9281.19921875
40,-9792.5234375,-9876.955078125
41,-9941.796875,-10135.2470703125
42,-10070.7685546875,-10625.9072265625
43,-10297.58203125,-10648.5068359375
44,-10603.0234375,-10960.9228515625
45,-11195.2060546875,-11192.8251953125
46,-9767.06640625,-10271.9873046875
47,-10816.2607421875,-10459.923828125
48,-11330.6708984375,-10282.1142578125
49,-11130.5546875,-11351.640625
50,-11673.47265625,-11775.37109375
51,-11961.4912109375,-11360.23828125
52,-12028.365234375,-11966.9443359375
53,-12207.5986328125,-12103.92578125
54,-12239.892578125,-11872.58203125
55,-12178.3955078125,-12099.4365234375
56,-12508.4462890625,-12484.619140625
57,-12225.2880859375,-12356.44140625
58,-12887.0,-12771.498046875
59,-13051.9326171875,-12971.232421875
60,-12941.525390625,-10972.66796875
61,-12932.9375,-13024.271484375
62,-13272.4365234375,-13067.2880859375
63,-12946.7490234375,-12729.2890625
64,-12851.037109375,-12060.0205078125
65,-13327.9541015625,-13396.6181640625
66,-13376.4287109375,-13503.6416015625
67,-13696.369140625,-13517.4375
68,-13328.5654296875,-13575.65234375
69,-13906.623046875,-13755.4736328125
70,-13839.119140625,-13838.35546875
71,-14059.39453125,-13926.982421875
72,-13579.013671875,-13995.927734375
73,-14237.630859375,-14271.7255859375
74,-14256.3408203125,-14273.68359375
75,-14382.0771484375,-14049.9892578125
76,-14329.2470703125,-14257.23046875
77,-14615.3310546875,-14390.0380859375
78,-14666.30078125,-14142.9658203125
79,-14510.5244140625,-14565.4560546875
80,-14894.9775390625,-14625.9404296875
81,-15034.3193359375,-14877.142578125
