epoch,cotAlpha_mae_metric,cotBeta_mae_metric,loss,mean_uncertainty_cotAlpha_monitor,mean_uncertainty_cotBeta_monitor,mean_uncertainty_x_monitor,mean_uncertainty_y_monitor,rmse_metric,val_cotAlpha_mae_metric,val_cotBeta_mae_metric,val_loss,val_mean_uncertainty_cotAlpha_monitor,val_mean_uncertainty_cotBeta_monitor,val_mean_uncertainty_x_monitor,val_mean_uncertainty_y_monitor,val_rmse_metric,val_x_mae_metric,val_y_mae_metric,x_mae_metric,y_mae_metric
0,0.26654815673828125,0.23057600855827332,3129.444091796875,0.15707999467849731,0.14799468219280243,0.2198280543088913,0.21189023554325104,0.38942044973373413,0.1988556981086731,0.1784018874168396,2236.160400390625,0.12704861164093018,0.08275492489337921,0.19757772982120514,0.14829634130001068,0.335686057806015,0.25260698795318604,0.3515372574329376,0.3011268675327301,0.3986626863479614
1,0.19346663355827332,0.16321109235286713,2100.0869140625,0.07455716282129288,0.04059245437383652,0.1267809122800827,0.08403569459915161,0.323973149061203,0.1873464435338974,0.16090168058872223,2009.2593994140625,0.02343270741403103,0.010301086120307446,0.05207362398505211,0.041216444224119186,0.31817466020584106,0.24863897264003754,0.32782164216041565,0.24943937361240387,0.33654773235321045
2,0.18538329005241394,0.15912219882011414,1978.593994140625,0.004889921750873327,0.0008323835791088641,0.013708734884858131,0.016092412173748016,0.31448763608932495,0.18526095151901245,0.16014280915260315,1917.4876708984375,0.0,0.0,0.0,0.0,0.31080663204193115,0.24282009899616241,0.31416574120521545,0.24657468497753143,0.3230641782283783
3,0.17874597012996674,0.155202254652977,1728.305908203125,0.0,0.0,0.0,0.0,0.29369327425956726,0.1784466952085495,0.16102229058742523,1660.2403564453125,0.0,0.0,0.0,0.0,0.2891334295272827,0.21651233732700348,0.28771552443504333,0.22594188153743744,0.29111504554748535
4,0.1648823618888855,0.14672519266605377,1485.1949462890625,0.0,0.0,0.0,0.0,0.2722827196121216,0.1567067801952362,0.144473597407341,1398.55908203125,0.0,0.0,0.0,0.0,0.2652955949306488,0.19412292540073395,0.25996941328048706,0.20144475996494293,0.2680662274360657
5,0.15206721425056458,0.14025570452213287,1361.4293212890625,0.0,0.0,0.0,0.0,0.2607007622718811,0.1463950127363205,0.1396065503358841,1316.811279296875,0.0,0.0,0.0,0.0,0.257394403219223,0.18983644247055054,0.2518261969089508,0.19165876507759094,0.2558839023113251
6,0.1409352719783783,0.1345093697309494,1277.3494873046875,0.0,0.0,0.0,0.0,0.25248685479164124,0.13478435575962067,0.13239207863807678,1229.5621337890625,0.0,0.0,0.0,0.0,0.24869376420974731,0.18545566499233246,0.2449304312467575,0.18761347234249115,0.24829909205436707
7,0.1302700787782669,0.1271630823612213,1205.5614013671875,0.0,0.0,0.0,0.0,0.24526764452457428,0.12500214576721191,0.12525831162929535,1170.508056640625,0.0,0.0,0.0,0.0,0.24264280498027802,0.1824864000082016,0.24011416733264923,0.18399077653884888,0.24252665042877197
8,0.12259567528963089,0.12119308859109879,1157.9986572265625,0.0,0.0,0.0,0.0,0.24035190045833588,0.11860886216163635,0.11921852827072144,1129.9669189453125,0.0,0.0,0.0,0.0,0.23839052021503448,0.1797974556684494,0.23737674951553345,0.18157896399497986,0.23884715139865875
9,0.11699265986680984,0.11476805806159973,1114.4168701171875,0.0,0.0,0.0,0.0,0.23576916754245758,0.11493935436010361,0.11396621912717819,1091.353271484375,0.0,0.0,0.0,0.0,0.2342517226934433,0.1776549220085144,0.23316539824008942,0.1788146197795868,0.23472847044467926
10,0.1148066371679306,0.11107946187257767,1100.607177734375,0.0,0.0,0.0,0.0,0.23428677022457123,0.113995261490345,0.11132938414812088,1086.9759521484375,0.0,0.0,0.0,0.0,0.23377978801727295,0.17702992260456085,0.23312659561634064,0.1778382956981659,0.2343054562807083
11,0.1129612997174263,0.10694199800491333,1069.66064453125,0.0,0.0,0.0,0.0,0.23095206916332245,0.11172419041395187,0.10634874552488327,1048.51513671875,0.0,0.0,0.0,0.0,0.22959619760513306,0.17511151731014252,0.22840456664562225,0.17564280331134796,0.23056527972221375
12,0.111027292907238,0.10337463021278381,1044.5,0.0,0.0,0.0,0.0,0.22820468246936798,0.11016302555799484,0.10329893976449966,1030.6256103515625,0.0,0.0,0.0,0.0,0.22763629257678986,0.1743825078010559,0.22634081542491913,0.17438434064388275,0.22769442200660706
13,0.10925710946321487,0.1000681146979332,1020.1727294921875,0.0,0.0,0.0,0.0,0.22551286220550537,0.10934025049209595,0.09932167083024979,1000.4628295898438,0.0,0.0,0.0,0.0,0.22425873577594757,0.1703110933303833,0.22439569234848022,0.17216390371322632,0.22571466863155365
14,0.10753266513347626,0.09736167639493942,996.6005249023438,0.0,0.0,0.0,0.0,0.22287806868553162,0.10664957761764526,0.09767109900712967,980.6581420898438,0.0,0.0,0.0,0.0,0.22201716899871826,0.16831481456756592,0.22286522388458252,0.16902439296245575,0.22384124994277954
15,0.10522784292697906,0.09556194394826889,975.6349487304688,0.0,0.0,0.0,0.0,0.2205108255147934,0.10415840893983841,0.09588173776865005,959.4713745117188,0.0,0.0,0.0,0.0,0.2195988893508911,0.16545401513576508,0.22063976526260376,0.16695870459079742,0.22196410596370697
16,0.10400887578725815,0.09398819506168365,958.2984619140625,0.0,0.0,0.0,0.0,0.2185322642326355,0.10339325666427612,0.09432970732450485,943.173828125,0.0,0.0,0.0,0.0,0.21770817041397095,0.1634809672832489,0.21911664307117462,0.16447103023529053,0.22050520777702332
17,0.1028401255607605,0.09311085194349289,944.5874633789062,0.0,0.0,0.0,0.0,0.21694718301296234,0.10192889720201492,0.09322882443666458,929.2197875976562,0.0,0.0,0.0,0.0,0.2160966545343399,0.16210544109344482,0.21736955642700195,0.16269035637378693,0.21909327805042267
18,0.10292727500200272,0.09239273518323898,938.6614379882812,0.0,0.0,0.0,0.0,0.21625547111034393,0.10096346586942673,0.09230268001556396,919.1460571289062,0.0,0.0,0.0,0.0,0.21491217613220215,0.16092507541179657,0.2164921760559082,0.161871999502182,0.21879883110523224
19,0.10417546331882477,0.09116315841674805,932.8267211914062,0.0,0.0,0.0,0.0,0.2155616134405136,0.10135012865066528,0.09139176458120346,917.0208129882812,0.0,0.0,0.0,0.0,0.21464931964874268,0.16019649803638458,0.21623460948467255,0.1608514040708542,0.21778306365013123
20,0.10223850607872009,0.0898871049284935,920.7944946289062,0.0,0.0,0.0,0.0,0.21418257057666779,0.10096041113138199,0.09078290313482285,908.9013671875,0.0,0.0,0.0,0.0,0.213692307472229,0.15955540537834167,0.21554239094257355,0.15988747775554657,0.21635282039642334
21,0.1010134145617485,0.08878180384635925,911.72021484375,0.0,0.0,0.0,0.0,0.21311910450458527,0.10020451992750168,0.09000205993652344,909.2146606445312,0.0,0.0,0.0,0.0,0.21372361481189728,0.15939484536647797,0.21612922847270966,0.15847116708755493,0.21560005843639374
22,0.10393624007701874,0.09041240066289902,931.2066650390625,0.0,0.0,0.0,0.0,0.21524736285209656,0.10208746790885925,0.08977221697568893,913.5091552734375,0.0,0.0,0.0,0.0,0.2142268866300583,0.15964551270008087,0.2164267897605896,0.16119055449962616,0.2182144671678543
23,0.10447961091995239,0.08997611701488495,935.9503173828125,0.0,0.0,0.0,0.0,0.21570636332035065,0.10049453377723694,0.08819328993558884,901.109619140625,0.0,0.0,0.0,0.0,0.21275536715984344,0.15860529243946075,0.21488456428050995,0.1606350839138031,0.21926744282245636
24,0.10193538665771484,0.08792509138584137,913.6541748046875,0.0,0.0,0.0,0.0,0.21329335868358612,0.09915273636579514,0.08742570877075195,892.740478515625,0.0,0.0,0.0,0.0,0.21176432073116302,0.1567494422197342,0.21512728929519653,0.15866133570671082,0.2161129117012024
25,0.1004142314195633,0.08624201267957687,898.8363037109375,0.0,0.0,0.0,0.0,0.2115820199251175,0.09918913245201111,0.08717486262321472,887.763916015625,0.0,0.0,0.0,0.0,0.21116679906845093,0.1563969999551773,0.21334844827651978,0.15703971683979034,0.21395863592624664
26,0.09979785978794098,0.08504243940114975,891.7369995117188,0.0,0.0,0.0,0.0,0.2107449769973755,0.10055511444807053,0.0850159153342247,885.053955078125,0.0,0.0,0.0,0.0,0.21084101498126984,0.1565224975347519,0.21274133026599884,0.15611784160137177,0.21325616538524628
