epoch,loss,val_loss
0,12610.1796875,6350.1943359375
1,342.5901794433594,-4129.953125
2,-7345.9482421875,-9311.84375
3,-11017.2001953125,-11553.9140625
4,-12826.796875,-12918.0654296875
5,-13972.7578125,-13819.515625
6,-14772.5205078125,-14502.724609375
7,-15433.6298828125,-15113.71875
8,-16053.58203125,-15699.806640625
9,-16652.3984375,-16261.2578125
10,-17221.533203125,-16785.6796875
11,-17748.1328125,-17261.40625
12,-18220.6953125,-17680.482421875
13,-18632.013671875,-18041.6171875
14,-18984.482421875,-18353.048828125
15,-19290.134765625,-18626.732421875
16,-19561.876953125,-18875.05859375
17,-19809.90625,-19105.5546875
18,-20040.4296875,-19321.310546875
19,-20255.939453125,-19522.93359375
20,-20456.783203125,-19709.9609375
21,-20642.703125,-19882.220703125
22,-20814.1171875,-20040.634765625
23,-20972.51171875,-20187.1953125
24,-21120.19921875,-20324.39453125
25,-21259.65234375,-20454.576171875
26,-21393.0390625,-20579.6328125
27,-21521.9453125,-20700.90625
28,-21647.34375,-20819.162109375
29,-21769.650390625,-20934.65625
30,-21888.765625,-21047.119140625
31,-22004.236328125,-21155.96484375
32,-22115.408203125,-21260.54296875
33,-22221.80078125,-21360.412109375
34,-22323.19140625,-21455.42578125
35,-22419.677734375,-21545.6953125
36,-22511.5546875,-21631.5390625
37,-22599.224609375,-21713.361328125
38,-22683.126953125,-21791.619140625
39,-22763.673828125,-21866.748046875
40,-22841.2421875,-21939.189453125
41,-22916.158203125,-22009.294921875
42,-22988.69140625,-22077.37109375
43,-23059.09375,-22143.671875
44,-23127.529296875,-22208.39453125
45,-23194.173828125,-22271.67578125
46,-23259.138671875,-22333.64453125
47,-23322.5546875,-22394.375
48,-23384.5078125,-22453.931640625
49,-23445.06640625,-22512.359375
50,-23504.306640625,-22569.70703125
51,-23562.28125,-22625.99609375
52,-23619.03515625,-22681.244140625
53,-23674.62890625,-22735.47265625
54,-23729.080078125,-22788.6953125
55,-23782.43359375,-22840.9140625
56,-23834.71875,-22892.123046875
57,-23885.962890625,-22942.33984375
58,-23936.181640625,-22991.548828125
59,-23985.39453125,-23039.767578125
60,-24033.62109375,-23086.994140625
61,-24080.900390625,-23133.25
62,-24127.234375,-23178.552734375
63,-24172.671875,-23222.927734375
64,-24217.21875,-23266.408203125
65,-24260.921875,-23309.021484375
66,-24303.802734375,-23350.798828125
67,-24345.888671875,-23391.791015625
68,-24387.21875,-23432.033203125
69,-24427.8359375,-23471.55859375
70,-24467.7734375,-23510.421875
71,-24507.056640625,-23548.654296875
72,-24545.724609375,-23586.28515625
73,-24583.8125,-23623.375
74,-24621.36328125,-23659.943359375
75,-24658.396484375,-23696.0390625
76,-24694.974609375,-23731.69140625
77,-24731.087890625,-23766.9375
78,-24766.80078125,-23801.802734375
79,-24802.1484375,-23836.3359375
80,-24837.13671875,-23870.556640625
81,-24871.8125,-23904.501953125
82,-24906.2109375,-23938.19921875
83,-24940.33984375,-23971.666015625
84,-24974.2421875,-24004.9453125
85,-25007.94140625,-24038.052734375
86,-25041.451171875,-24071.01171875
87,-25074.806640625,-24103.84765625
88,-25108.025390625,-24136.578125
89,-25141.125,-24169.21875
90,-25174.123046875,-24201.79296875
91,-25207.037109375,-24234.3125
92,-25239.88671875,-24266.791015625
93,-25272.6875,-24299.236328125
94,-25305.431640625,-24331.677734375
95,-25338.14453125,-24364.095703125
96,-25370.84375,-24396.5234375
97,-25403.517578125,-24428.953125
98,-25436.19140625,-24461.40234375
99,-25468.861328125,-24493.853515625
100,-25501.52734375,-24526.33203125
101,-25534.1953125,-24558.8203125
102,-25566.853515625,-24591.33203125
103,-25599.537109375,-24623.86328125
104,-25632.203125,-24656.40234375
105,-25664.873046875,-24688.95703125
106,-25697.537109375,-24721.521484375
107,-25730.205078125,-24754.083984375
108,-25762.837890625,-24786.6640625
109,-25795.462890625,-24819.23828125
110,-25828.052734375,-24851.802734375
111,-25860.6171875,-24884.36328125
112,-25893.13671875,-24916.90234375
113,-25925.603515625,-24949.435546875
114,-25958.015625,-24981.943359375
115,-25990.3828125,-25014.421875
116,-26022.669921875,-25046.853515625
117,-26054.892578125,-25079.244140625
118,-26087.04296875,-25111.591796875
119,-26119.119140625,-25143.85546875
120,-26151.111328125,-25176.044921875
121,-26183.001953125,-25208.142578125
122,-26214.802734375,-25240.162109375
123,-26246.515625,-25272.072265625
124,-26278.107421875,-25303.884765625
125,-26309.609375,-25335.58984375
126,-26340.984375,-25367.1796875
127,-26372.2578125,-25398.654296875
