epoch,loss,val_loss
0,11966.7666015625,1049.9864501953125
1,-5665.18017578125,-8741.7431640625
2,-9595.9990234375,-9669.365234375
3,-10300.03515625,-10910.8251953125
4,-11344.7939453125,-11810.693359375
5,-12032.6728515625,-12775.1396484375
6,-12953.8740234375,-909.7528076171875
7,-12679.41015625,-14256.7109375
8,-13520.435546875,-14510.8359375
9,-13476.4716796875,-13794.357421875
10,-13734.1064453125,-13910.4931640625
11,-13546.470703125,-14200.990234375
12,-12913.2685546875,-14859.3291015625
13,-13934.8349609375,-13940.150390625
14,-14086.6748046875,-15499.5087890625
15,-15420.88671875,-15006.8310546875
16,-15812.5234375,-16087.630859375
17,-14892.4140625,-16453.36328125
18,-16156.4912109375,-15708.880859375
19,-16150.5478515625,-15952.5234375
20,-15511.4931640625,-16747.861328125
21,-16207.93359375,-15881.892578125
22,-16094.869140625,-16429.625
23,-16402.13671875,-16627.89453125
24,-16416.931640625,-17184.66796875
25,-16285.845703125,-17251.861328125
26,-16136.9482421875,-17188.26171875
27,-16226.5419921875,-17072.70703125
28,-16786.142578125,-17399.646484375
29,-16830.328125,-16398.83203125
30,-16438.619140625,-14632.9990234375
31,-16515.310546875,-17938.3203125
32,-16815.232421875,-17293.92578125
33,-16940.998046875,-16725.974609375
34,-16842.80078125,-17103.802734375
35,-16925.51953125,-16366.2314453125
36,-16913.62890625,-17579.7578125
37,-17127.939453125,-14809.8544921875
38,-17142.39453125,-17548.20703125
39,-17520.826171875,-16608.396484375
40,-17413.984375,-17299.587890625
41,-17636.205078125,-18049.00390625
42,-17648.685546875,-16858.6953125
43,-17635.283203125,-17904.583984375
44,-17374.90625,-17453.466796875
45,-17575.12890625,-17979.7109375
46,-18386.267578125,-17877.603515625
47,-18619.044921875,-18230.068359375
48,-18303.58203125,-18873.73046875
49,-18245.892578125,-18537.00390625
50,-18096.982421875,-18458.8671875
51,-18685.556640625,-19309.134765625
52,-18513.96484375,-7631.7001953125
53,-17922.296875,-4707.48779296875
54,-17900.75,-18950.65625
55,-17643.3515625,-18540.361328125
56,-18070.0390625,-18343.63671875
57,-18172.90625,-18012.6171875
58,-18290.037109375,-13336.3642578125
59,-18560.26953125,-17646.28515625
60,-18645.927734375,-16705.95703125
61,-18888.775390625,-20044.2109375
62,-18869.908203125,-19869.71484375
63,-19071.8828125,-18787.724609375
64,-19416.63671875,-19620.3359375
65,-19457.9296875,-19886.38671875
66,-19238.9765625,-18734.19140625
67,-19421.64453125,-18557.482421875
68,-19744.056640625,-20439.470703125
69,-19853.556640625,-19484.01953125
70,-19960.3046875,-20281.814453125
71,-19841.37890625,-20117.41796875
72,-20197.19140625,-19854.802734375
73,-20240.67578125,-20510.021484375
74,-20300.501953125,-20069.732421875
75,-20465.849609375,-20451.5390625
76,-20608.58203125,-20888.076171875
77,-20751.779296875,-21245.443359375
78,-20806.470703125,-21298.97265625
79,-20738.935546875,-20924.5234375
80,-20963.80078125,-21056.59765625
81,-20927.3046875,-20570.318359375
82,-21033.986328125,-20515.771484375
83,-20921.037109375,-20208.759765625
