epoch,loss,val_loss
0,35623.85546875,-36359.234375
1,-40086.484375,-40941.9453125
2,-41821.65625,-41948.52734375
3,-43298.45703125,-44159.359375
4,-46977.52734375,-49558.13671875
5,-51889.97265625,-52789.86328125
6,-54257.3125,-54581.984375
7,-55722.02734375,-55829.8125
8,-56678.7421875,-56740.13671875
9,-57611.37890625,-57408.91796875
10,-58259.75390625,-58115.27734375
11,-58229.3515625,-57871.75
12,-59574.078125,-59577.69140625
13,-59456.0390625,-60438.11328125
14,-60762.67578125,-61222.140625
15,-62130.62109375,-61970.6171875
16,-62860.27734375,-62724.07421875
17,-62745.9765625,-63289.41796875
18,-64063.64453125,-63805.6953125
19,-64482.1171875,-64243.80078125
20,-64606.51953125,-64590.765625
21,-65354.1640625,-64948.34765625
22,-65568.3671875,-65246.41015625
23,-66020.796875,-65600.453125
24,-66337.171875,-65920.5
25,-66675.2734375,-66262.8359375
26,-66971.8359375,-66484.1796875
27,-67228.765625,-66806.2109375
28,-67129.8125,-66155.4609375
29,-67761.7734375,-67234.9375
30,-68013.546875,-67443.671875
31,-67413.5390625,-67664.6796875
32,-68343.671875,-67829.8125
33,-68558.46875,-68001.6484375
34,-68730.390625,-68157.9375
35,-68903.359375,-68340.515625
36,-69081.3515625,-68506.796875
37,-69254.828125,-68669.3984375
38,-69431.5625,-68843.6328125
39,-69603.4375,-69011.2265625
40,-69759.78125,-69157.9375
41,-69902.28125,-69296.40625
42,-70041.734375,-69424.265625
43,-68101.4140625,-69536.390625
44,-70264.015625,-69636.4765625
45,-70368.6328125,-69728.09375
46,-70465.875,-69834.125
47,-70562.3515625,-69929.65625
48,-70669.7890625,-70053.203125
49,-70757.796875,-70146.8828125
50,-70871.859375,-70258.28125
51,-70969.40625,-70351.3515625
52,-71067.5078125,-70443.7578125
53,-71167.4296875,-70519.4296875
54,-71258.640625,-70605.2578125
55,-71346.34375,-70696.28125
