epoch,loss,val_loss
0,72473.4375,17980.423828125
1,16448.609375,15552.609375
2,14388.2294921875,12596.9267578125
3,10620.6142578125,8491.4150390625
4,6458.9775390625,4904.9150390625
5,3906.235107421875,3178.246826171875
6,2651.8388671875,2395.1513671875
7,2032.9598388671875,1870.39404296875
8,1530.4071044921875,1209.3880615234375
9,641.547607421875,173.10696411132812
10,-520.30859375,-1193.900634765625
11,-1264.76318359375,5.987186431884766
12,-2901.04833984375,-3491.67041015625
13,-4156.6142578125,-4216.1767578125
14,-5108.80908203125,-5449.4033203125
15,-5991.99755859375,-6242.87890625
16,-6766.20849609375,-6926.70654296875
17,-7583.27587890625,-7803.53466796875
18,-8352.994140625,-8512.9970703125
19,-8842.119140625,-9137.3662109375
20,-9670.7578125,-9762.5673828125
21,-9767.728515625,-10239.8017578125
22,-10737.466796875,-10750.2119140625
23,-11200.5732421875,-11160.0634765625
24,-11593.8408203125,-11543.9638671875
25,-11962.634765625,-11886.626953125
26,-12283.6142578125,-11952.06640625
27,-12579.9296875,-12477.6435546875
28,-12824.193359375,-12737.466796875
29,-12918.115234375,-12957.01953125
30,-12955.845703125,-13149.962890625
31,-13486.349609375,-13327.4560546875
32,-13648.6318359375,-13480.1474609375
33,-13742.03125,-13647.0810546875
34,-13993.0078125,-13810.078125
35,-14151.537109375,-13961.1904296875
36,-14307.4169921875,-14121.9140625
37,-14463.099609375,-14283.544921875
38,-14614.6689453125,-14433.158203125
39,-14767.6083984375,-14559.5283203125
40,-14920.8544921875,-14709.7431640625
41,-15068.2138671875,-14851.93359375
42,-15163.1318359375,-15000.4755859375
43,-15310.5419921875,-15138.001953125
44,-15484.236328125,-15270.99609375
45,-15612.0703125,-15407.3828125
46,-15739.4765625,-15539.609375
47,-15877.9169921875,-15675.796875
48,-16025.482421875,-15808.5693359375
49,-16153.30078125,-15942.4521484375
50,-16288.5185546875,-16078.3779296875
51,-16419.68359375,-16210.03125
52,-16545.26171875,-16336.5703125
53,-16670.177734375,-16458.9921875
54,-16788.87109375,-16575.89453125
55,-16898.822265625,-16688.732421875
56,-17015.416015625,-16795.001953125
57,-17120.56640625,-16896.400390625
58,-17219.1640625,-16994.435546875
59,-17318.423828125,-17087.798828125
60,-17409.19921875,-17175.630859375
61,-17496.427734375,-17259.74609375
62,-17580.9296875,-17340.94140625
63,-17660.27734375,-17418.02734375
64,-17736.662109375,-17491.115234375
65,-17808.490234375,-17560.19921875
66,-17876.6484375,-17625.064453125
