epoch,loss,val_loss
0,77127.6015625,74981.1796875
1,77127.0859375,74980.8203125
2,77126.8515625,74980.6328125
3,77126.6953125,74980.5546875
4,77126.640625,74980.484375
5,77126.40625,74980.5625
6,77126.1640625,74980.59375
7,77126.6953125,74980.578125
8,77126.671875,74980.5546875
9,77126.6640625,74980.546875
10,77126.6484375,74980.53125
11,77126.6328125,74980.5234375
12,77126.6328125,74980.515625
13,77126.6171875,74980.5
14,77126.5703125,74980.4140625
15,77126.5078125,74980.4140625
16,77126.5,74980.3984375
17,77126.484375,74980.390625
18,77126.4765625,74980.375
19,77126.46875,74980.3671875
20,77126.4609375,74980.34375
21,77126.4453125,74980.34375
22,77126.4375,74980.3203125
23,77126.421875,74980.3046875
24,77126.421875,74980.296875
25,77126.40625,74980.28125
26,77126.3984375,74980.265625
27,77126.3828125,74980.25
28,77126.3671875,74980.234375
29,77126.3359375,74980.21875
30,77126.3125,74980.203125
31,77126.3046875,74980.1796875
32,77126.28125,74980.1640625
