epoch,loss,val_loss
0,15150.169921875,-1981.7066650390625
1,-5570.16748046875,-8725.546875
2,-9855.7431640625,-11270.2646484375
3,-12097.94921875,-13127.373046875
4,-12150.013671875,-13336.9296875
5,-13595.8642578125,-13066.4072265625
6,-13891.1572265625,-14639.87890625
7,-13722.8505859375,-14268.4404296875
8,-14697.326171875,-14806.3515625
9,-15115.8037109375,-15069.3818359375
10,-13495.3583984375,-14615.2109375
11,-14127.3359375,-13551.166015625
12,-12770.8095703125,-14767.5908203125
13,-15140.0166015625,-15468.4228515625
14,-14202.2548828125,-10064.94921875
15,-13373.41796875,-13897.6611328125
16,-14346.197265625,-13994.6279296875
17,-14420.6123046875,-14545.6669921875
18,-14534.7138671875,-15026.1142578125
19,-14800.9609375,-15197.8076171875
20,-14846.7294921875,-14588.849609375
21,-14802.96484375,-14377.3095703125
22,-14939.861328125,-15161.115234375
23,-14682.2578125,-16357.4638671875
24,-14855.51953125,-12197.216796875
25,-15567.6103515625,-16104.587890625
26,-15794.51171875,-16717.392578125
27,-16187.841796875,-16745.537109375
28,-15804.763671875,-13129.3857421875
29,-15207.1171875,-14630.06640625
30,-14686.595703125,-15921.5048828125
31,-15499.556640625,-15518.884765625
32,-15766.0849609375,-16401.796875
33,-16420.947265625,-16815.5078125
34,-16906.5234375,-17040.337890625
35,-17070.478515625,-17476.037109375
36,-17227.3984375,-17325.181640625
37,-17710.255859375,-17763.900390625
38,-17754.05078125,-17849.611328125
39,-16218.4228515625,-16614.640625
40,-16538.345703125,-16919.98046875
41,-16770.859375,-18311.453125
42,-15479.8681640625,-14702.458984375
43,-17357.548828125,-18179.81640625
44,-17607.103515625,-17130.716796875
45,-18261.0078125,-18233.513671875
46,-18379.400390625,-18585.744140625
47,-18684.19921875,-19586.025390625
48,-18446.826171875,-18892.931640625
49,-18920.8671875,-19355.236328125
50,-18970.810546875,-19501.46484375
51,-18971.365234375,-18187.142578125
52,-18992.669921875,-19119.421875
53,-19045.255859375,-19132.3359375
54,-19238.388671875,-19897.6796875
55,-19292.708984375,-19688.99609375
56,-19385.451171875,-19722.966796875
57,-19237.919921875,-17962.48046875
58,-19572.369140625,-20078.69140625
59,-19707.48046875,-19876.658203125
60,-19943.986328125,-20427.943359375
61,-20363.498046875,-20452.994140625
62,-20524.935546875,-20292.8671875
63,-20830.03515625,-20719.607421875
64,-20655.875,-21162.564453125
65,-20903.826171875,-21131.009765625
66,-20946.83203125,-21474.482421875
67,-21018.794921875,-21246.30859375
68,-21059.044921875,-20188.3359375
