epoch,loss,val_loss
0,21495.7734375,6746.3095703125
1,2903.64501953125,586.4318237304688
2,-213.09873962402344,-683.1879272460938
3,-692.9853515625,-731.1718139648438
4,-814.0211181640625,-1020.453857421875
5,-982.686767578125,-875.0689086914062
6,-1056.5960693359375,-695.9323120117188
7,-1186.9334716796875,-1213.5089111328125
8,-1245.4755859375,-1140.306396484375
9,-1454.8948974609375,-1463.54443359375
10,-1545.8001708984375,-1596.649658203125
11,-1835.8101806640625,-1891.4786376953125
12,-2104.07568359375,-1834.802001953125
13,-2401.74365234375,-2489.858154296875
14,-2814.689697265625,-2637.563720703125
15,-3232.486083984375,-2565.64990234375
16,-3451.349609375,-3586.392822265625
17,-3980.48779296875,-3979.703857421875
18,-4125.9716796875,-4331.66943359375
19,-4423.4169921875,-4497.0009765625
20,-4730.69384765625,-4712.88037109375
21,-4908.9619140625,-4777.572265625
22,-5139.84814453125,-5031.49609375
23,-5338.560546875,-5209.35888671875
24,-5638.8642578125,-5594.21826171875
25,-5776.13330078125,-5843.080078125
26,-5756.8544921875,-6133.224609375
27,-6359.2509765625,-6508.80078125
28,-6671.6787109375,-6442.8212890625
29,-6858.9326171875,-6826.82177734375
30,-6512.19921875,-7026.62353515625
31,-7065.09814453125,-6993.4921875
32,-7190.81982421875,-7229.74267578125
33,-7514.30029296875,-7577.7490234375
34,-7650.63427734375,-7412.724609375
35,-7735.40185546875,-7490.9736328125
36,-6866.265625,-7887.29345703125
37,-7894.61474609375,-7821.62890625
38,-7624.576171875,-7939.55078125
39,-8079.5185546875,-8258.587890625
40,-7757.8974609375,-4573.662109375
41,-7834.92822265625,-8493.744140625
42,-6827.0146484375,-1333.642578125
43,-7730.87158203125,-8459.2041015625
44,-8076.2666015625,-8339.751953125
45,-8239.298828125,-8835.6748046875
46,-8874.7001953125,-9002.556640625
47,-8521.5546875,-8073.66845703125
